"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
JUL-25,Hira,T.T.F,,"Mahiira B",199502250249,0005,T.T.F,,QZZ8A2508479,"Mahiira B","YouTube Streaming","August 2025",ZAF,Streaming,"Art Track",Sale,1,0.000095000000
JUL-25,Hira,"No More A Slave To Sin",,Jamezy,198622456012,0002,"No More A Slave To Sin",,QZWV32437403,Jamezy,Spotify,"July 2025",SUR,Streaming,Single,Sale,0,5.000232000000
